,index,PNW
219,949,53421.01423102626
220,950,61339.45246736161
221,951,57997.296040847534
222,952,60357.01134256265
223,953,48658.693150347084
224,954,51764.56508345937
225,955,42432.76294508473
226,956,47971.437076163435
227,957,61175.83463613798
228,958,67919.23762291715
229,959,69940.20723293803
230,960,64075.54867141058
231,961,68205.33663584068
232,962,72500.71368782868
233,963,67182.5154705638
234,964,62593.193425159625
235,965,58914.92873292629
236,966,59040.1155858226
237,967,52094.134615867675
238,968,54258.53396249833
239,969,58285.377719414275
240,970,50177.416735634295
241,971,49446.42280125595
242,972,82801.13607771537
243,973,33461.589653145435
244,974,44328.32350233842
245,975,39739.8649890939
246,976,35387.877851806275
247,977,39503.274095810455
248,978,30918.885363621477
249,979,26977.32457539512
250,980,32620.64099876641
251,981,27352.09810147452
252,982,28420.865994574255
253,983,26682.656261831857
254,984,27334.36434549745
255,985,27166.51014363776
256,986,24519.806906274433
257,987,22529.921880811657
258,988,23318.639625889627
259,989,29377.338588170023
260,990,26731.825015569586
261,991,26503.07683282165
262,992,23807.240661884498
263,993,33456.01562792326
264,994,26931.81261652462
265,995,30507.813266418234
266,996,23989.06417017059
267,997,29502.714721009004
268,998,24439.28664508449
269,999,32798.44101298062
270,1000,30289.636408025894
271,1001,35446.03353427374
272,1002,41531.4094568725
273,1003,34063.98713332164
274,1004,44950.658675292594
275,1005,59872.89965597405
276,1006,51587.75893938383
277,1007,41730.64198730524
278,1008,38478.10065079562
279,1009,43507.38806924474
280,1010,56719.659564949485
281,1011,50999.85491253002
282,1012,53610.59011464343
283,1013,46906.114901390494
284,1014,47926.071272194094
285,1015,40944.631273233215
286,1016,35378.91982875425
287,1017,29077.630703474308
288,1018,36558.366152854316
289,1019,39189.913927192785
290,1020,46405.707669731
291,1021,40793.71701245161
292,1022,36223.05314725467
293,1023,31428.805507257406
294,1024,32696.59014325736
295,1025,30215.48607597896
296,1026,27469.244111402208
297,1027,23050.814084484402
298,1028,26694.97814625177
299,1029,25497.53786531408
300,1030,31978.001016890383
301,1031,36843.636253339995
302,1032,37358.362184497964
303,1033,38062.6317537407
304,1034,35375.25496206383
305,1035,37997.806725945135
306,1036,38514.14904272411
307,1037,41170.930433938745
308,1038,40560.11423688514
309,1039,35747.17583866668
310,1040,33456.70497688823
311,1041,30796.18458129256
312,1042,31725.010157266763
313,1043,32931.25444834333
314,1044,33263.146136314186
315,1045,31769.468161614554
316,1046,35012.95894525133
317,1047,34251.09038945308
318,1048,28996.006444713727
319,1049,28403.087220109854
320,1050,35028.457764286286
321,1051,40189.68098853764
322,1052,41753.80829033314
323,1053,27913.208026595064
324,1054,24037.19957453516
325,1055,25766.30459933271
326,1056,32510.136138333997
327,1057,32581.736632286746
328,1058,27369.647849385132
329,1059,24463.076205307516
330,1060,19065.944758795988
331,1061,14032.552572412053
332,1062,15387.425952123129
333,1063,9427.557296873769
334,1064,17684.75276979062
335,1065,29461.742201882327
336,1066,41438.53274966986
337,1067,35138.380047532
338,1068,31455.627014158177
339,1069,53588.34680503275
340,1070,70875.72793880885
341,1071,74561.8261419058
342,1072,60751.74094912235
343,1073,91332.36969310246
344,1074,80638.05113031887
345,1075,80278.88795336138
346,1076,72700.18525412667
347,1077,68654.64934428685
